old_tag,new_tags,count,SURJ Action,SURJ Demo Chapter,SURJ Bay Area,Showing Up for Racial Justice NYC
NYC_BB_Feb17,#Basebuilding,34,,,,
Phone Bank - 8/2/16,!Phone Bank,6,,,,
SURJ Chapter,IGNORE,11,,,,
NYC_Attend_March4INY_Dec16,!Event,13,,,,
NYC_Space,?Host,82,,,,
NYC_Attend_Astoria_Dec16,!Event,21,,,,
WPC,IGNORE,150,,,,
Cchange15,IGNORE,54,,,,
NYC_DA_Mar17,?Direct Action,22,,,,
NYC_Neighbor_UnionSq,IGNORE,1,,,,
Peoples Summit 16,IGNORE,27,,,,
conference-call-love-is-unstoppable-5-4-16,!Conference Call,79,,,,
NYC_Skills_Admin,?Admin,94,,,,
NYC_Skills_Fundraising,?Fundraising,44,,,,
?donate,IGNORE,2,,,,
call_anti_islam_1215,"#Islamophobia,!Conference Call",343,,,,
Active Volunteer-NationBuilder-2016,?Volunteer,1,,,,
NYC_Neighbor_ClintonHill,IGNORE,2,,,,
NYC_Attend_Mar17_WhiteFem,IGNORE,77,,,,
NYC_Neighbor_StuyTown,IGNORE,3,,,,
recruit,IGNORE,5,,,,
Development applicant,IGNORE,28,,,,
Has coach,IGNORE,44,,,,
Demo - Origin - Website,IGNORE,9,,,,
petition-minneapolis-shooting,!Petition,4288,,,,
faith-pilot-call-516,"#Faith,!Conference Call",154,,,,
Highlander,IGNORE,29,,,,
@SURJ Action,IGNORE,114,,,,
NYC_Attend_March17_CDTraining,IGNORE,23,,,,
pledge_donate,IGNORE,169,,,,
#Talk to Family/Friends,IGNORE,9,,,,
Administrative,?Admin,1450,,,,
NYCChapter4/17,IGNORE,62,,,,
NYC_Attend_Jan17_Prisons,#Mass Incarceration,109,,,,
q&t,#Queer Trans,231,,,,
dec_training_needs_scholarship,IGNORE,1,,,,
NYC_Attend_DRUM_Dec16,IGNORE,14,,,,
SURJ Action - Phone Bank - Shift Lead - Aug 2016,!Phone Bank,14,,,,
Volunteer Interest - Video - 2016,?Photo Video,4,,,,
bbcalljune2015,"#Basebuilding,!Conference Call",317,,,,
Social Media,?Social Media,2998,,,,
NYC_Neighbor_Greenpoint,IGNORE,2,,,,
regional list serve,IGNORE,517,,,,
Donor - M4BL,IGNORE,193,Donor - M4BL,,,
SURJ Connector,IGNORE,9,,,,
Communications,?Comms,8,,,,
NYC_Attend_Dec16_Canvass,?Canvass,11,,,,
purple/ 1,IGNORE,3,,,,
NYC_Skills_Canvass,?Canvass,18,,,,
Contacted for chapter request,IGNORE,778,Chapter Request,,,
NYC_Police,#Police,515,,,,
NYC_Phonebank_Feb17,!Phone Bank,4,,,,
716 EWS call,!Conference Call,4148,,,,
NYC_DA_Dec16,!Direct Action,28,,,,
Contacted - Pledged - Phone Bank -12/16,IGNORE,502,Contacted - Phone,,,
NYC_Neighbor_Kensington,IGNORE,37,,,,
NYC_Neighbor_PKSlope_Core,IGNORE,7,,,,
Monthly donor prospect,IGNORE,255,Donor Prospect Monthly,,,
7_16_maestro_ask,IGNORE,233,Maestro,,,
NYC_Attend_Catalyst_Nov16,IGNORE,12,,,,
contacted,IGNORE,2,,,,
NYC_Neighbor_FtGreene,IGNORE,3,,,,
Research,?Research,7,,,,
NYC_Neighbor_FiDi,IGNORE,1,,,,
northeast,IGNORE,17,Northeast,,,
NYC_Skills_CompProg,?Tech,28,,,,
mailchimp_import,IGNORE,1610,,,,
@SURJ Bay Area,IGNORE,6042,,,,
white_faith_communites_retreat_paid_scholarship,#Faith,2,,,,
action pledge c4,IGNORE,290,,,,
NYC_Skills_Data,?Data,87,,,,
NYC_BB_Mar17,#Basebuilding,20,,,,
new_to_racial_justice,IGNORE,1930,,,,
social media ambassador,?Social Media,2613,,,,
NYC_Skills_Legal,?Legal,41,,,,
NYC_Neighbor_RedHook,IGNORE,1,,,,
clergy_member,#Faith,15,,,,
#Sign Petitions,!Petition,7,,,,
NYC_Skills_Childcare,?Child Care,47,,,,
BB-canvass-616,"#Basebuilding,?Canvass",48,,,,
#Call Representatives,#Call Representatives,10,,,,
SURJ Bay Area - Active Member - 2016-12,IGNORE,157,,,,
white people for baltimore registrants 4-31-15,IGNORE,1162,,,,
NYC_Neighbor_CrownHeights,IGNORE,9,,,,
Donor Prospect,IGNORE,25,Donor Prospect,,,
donor_M4BL_fund,IGNORE,218,Donor M4BL,,,
No Donate - Phone Bank -12/16,IGNORE,736,Contacted - Phone,,,
Volunteer Interest - Phones - 2016,?Phone Bank,345,,,,
racial_justice_before,IGNORE,2099,,,,
!Phone Bank,!Phone Bank,2,,,,
pledge_call,!Conference Call,37,,,,
petition-jasmine-richards,!Petition,1257,,,,
SURJ Bay Area - Origin - Import 2017-02,IGNORE,269,,,,
NYC_BB_12/16,#Basebuilding,62,,,,
NYC_DA,?Direct Action,1455,,,,
NYC_Attend_Feb17_Org101,IGNORE,19,,,,
NYC_Skills_Driver,?Car,4,,,,
NYC_BB_May17,#Basebuilding,4,,,,
trump-direct-action,"#Trump,?Direct Action",9046,,,,
#Panel Discussion/Screening,IGNORE,8,,,,
Our100,IGNORE,221,,,,
dont fundraise 2016,IGNORE,1,,,,
volunteer-surjaction,Volunteer c4,32,,,,
Demo - Origin - Action 2017-03,IGNORE,3,,,,
tier: unassigned,IGNORE,1,,,,
white_faith_communites_retreat_paid_single_room,#Faith,3,,,,
#Difficult Conversations,IGNORE,9,,,,
